id,visit_gap
805,75.9090909090909
806,
807,69.25
808,102.4375
809,29.0
810,28.224137931034484
811,93.82352941176471
812,55.0
813,29.0
814,59.81481481481482
815,
816,33.31578947368421
817,72.16666666666667
818,30.692307692307693
819,
820,44.875
821,
822,286.0
823,61.666666666666664
824,15.0
825,
826,75.55555555555556
827,
828,46.84375
829,78.8
830,62.4
831,
832,
833,24.625
834,
835,16.244444444444444
836,
837,
838,24.863636363636363
839,187.0
840,34.25
841,
842,28.5
843,25.5
844,90.15384615384616
845,
846,68.63157894736842
847,66.83333333333333
848,135.0
849,135.0
850,
851,58.857142857142854
852,
853,
854,61.0
855,
856,111.9090909090909
857,43.46875
858,38.72222222222222
859,25.53846153846154
860,70.73684210526316
861,106.4
862,
863,
864,49.625
865,94.5
866,156.0
867,41.0
868,70.5
869,
870,19.606060606060606
871,23.166666666666668
872,
873,60.5
874,17.0
875,26.375
876,7.0
877,28.0
878,36.361111111111114
879,70.11111111111111
880,150.5
881,
882,
883,42.10344827586207
884,68.0
885,56.523809523809526
886,41.51724137931034
887,
888,55.0
889,
890,45.69230769230769
891,140.0
892,446.0
893,
894,90.0
895,64.33333333333333
896,26.037037037037038
897,
898,34.125
899,35.857142857142854
900,74.9090909090909
901,
902,
903,35.26923076923077
904,
905,-1.7083333333333333
906,61.64705882352941
907,
908,23.5
909,7.0
910,
911,85.75
912,132.5
913,34.25
914,167.6
915,31.0
916,
917,27.181818181818183
918,
919,
920,32.2
921,98.0
922,73.8
923,60.57142857142857
924,58.6
925,44.714285714285715
926,60.5625
927,
928,
929,36.23809523809524
930,29.0
931,45.2
932,
933,67.6923076923077
934,57.53846153846154
935,23.37037037037037
936,
937,
938,89.14285714285714
939,
940,150.5
941,
942,
943,23.0
944,8.0
945,75.0
946,
947,87.0
948,54.857142857142854
949,
950,62.0
951,
952,17.4
953,23.818181818181817
954,44.94117647058823
955,
956,70.0
957,
958,63.45454545454545
959,82.33333333333333
960,35.95
961,
962,27.52
963,40.588235294117645
964,
965,34.666666666666664
966,78.0
967,105.6
968,87.5
969,52.5
970,488.0
971,81.0
972,154.0
973,49.0
974,
975,
976,57.0
977,64.44444444444444
978,39.2
979,
980,13.0
981,37.888888888888886
982,147.5
983,
984,38.0
985,
986,29.5
987,9.74468085106383
988,
989,
990,33.0
991,43.0
992,30.454545454545453
993,
994,272.0
995,
996,35.125
997,36.714285714285715
998,
999,16.8
1000,38.666666666666664
1001,
1002,
1003,48.666666666666664
1004,
1005,
1006,16.0
1007,22.5
