id,visit_count,last_visit_date,days_since_last_visit,retained,loyalty
149,27,2024-11-24,33,True,Highly Loyal
150,47,2024-10-20,68,True,Highly Loyal
151,19,2024-09-09,109,True,Highly Loyal
152,4,2024-10-06,82,True,Low Loyal
153,22,2024-10-14,74,True,Highly Loyal
154,39,2024-08-20,129,True,Highly Loyal
155,42,2024-08-14,135,True,Highly Loyal
156,37,2024-12-15,12,True,Extremely Loyal
157,55,2024-11-14,43,True,Highly Loyal
158,27,2024-07-14,166,True,Highly Loyal
159,21,2024-10-20,68,True,Highly Loyal
160,13,2024-07-06,174,True,Highly Loyal
161,81,2024-10-13,75,True,Highly Loyal
162,10,2024-06-22,188,True,Elevated Risk
163,12,2024-07-20,160,True,Highly Loyal
164,48,2024-11-17,40,True,Highly Loyal
165,27,2024-11-08,49,True,Highly Loyal
166,29,2024-11-04,53,True,Highly Loyal
167,69,2024-11-17,40,True,Highly Loyal
168,84,2024-11-01,56,True,Highly Loyal
169,21,2024-10-13,75,True,Highly Loyal
170,81,2024-11-07,50,True,Highly Loyal
171,56,2024-11-04,53,True,Highly Loyal
172,17,2024-08-24,125,True,Highly Loyal
173,11,2024-06-18,192,True,Elevated Risk
174,26,2024-11-22,35,True,Highly Loyal
175,34,2024-10-27,61,True,Highly Loyal
176,1,2024-05-24,217,False,New
177,3,2023-07-08,538,True,At Risk
178,24,2024-10-01,87,True,Highly Loyal
179,7,2024-07-10,170,True,Elevated Risk
180,41,2024-11-26,31,True,Highly Loyal
181,33,2024-09-08,110,True,Highly Loyal
182,98,2024-11-15,42,True,Highly Loyal
183,70,2024-11-20,37,True,Highly Loyal
184,18,2024-11-19,38,True,Highly Loyal
185,17,2024-10-20,68,True,Highly Loyal
186,52,2024-09-15,103,True,Highly Loyal
187,19,2024-06-15,195,True,Highly Loyal
188,66,2024-11-11,46,True,Highly Loyal
189,50,2024-10-21,67,True,Highly Loyal
190,59,2024-08-15,134,True,Highly Loyal
191,8,2024-11-15,42,True,Moderate Loyal
192,80,2024-11-05,52,True,Highly Loyal
193,61,2024-11-23,34,True,Highly Loyal
194,17,2024-08-13,136,True,Highly Loyal
195,4,2024-03-16,286,True,At Risk
196,65,2024-09-11,107,True,Highly Loyal
197,53,2024-10-26,62,True,Highly Loyal
198,59,2024-11-15,42,True,Highly Loyal
199,32,2024-10-02,86,True,Highly Loyal
200,28,2024-08-18,131,True,Highly Loyal
201,68,2024-10-13,75,True,Highly Loyal
202,13,2024-05-18,223,True,Highly Loyal
203,62,2024-10-18,70,True,Highly Loyal
204,42,2024-11-24,33,True,Highly Loyal
205,26,2024-12-15,12,True,Extremely Loyal
206,56,2024-11-09,48,True,Highly Loyal
207,29,2024-09-27,91,True,Highly Loyal
208,37,2024-11-22,35,True,Highly Loyal
209,65,2024-07-16,164,True,Highly Loyal
210,60,2024-12-07,20,True,Extremely Loyal
211,22,2024-09-10,108,True,Highly Loyal
212,6,2024-10-09,79,True,Moderate Loyal
213,45,2024-10-26,62,True,Highly Loyal
214,47,2024-12-05,22,True,Extremely Loyal
215,10,2024-11-09,48,True,Moderate Loyal
216,29,2024-09-20,98,True,Highly Loyal
217,44,2024-09-07,111,True,Highly Loyal
218,36,2024-12-12,15,True,Extremely Loyal
219,60,2024-11-24,33,True,Highly Loyal
220,37,2024-12-11,16,True,Extremely Loyal
221,48,2024-12-03,24,True,Extremely Loyal
222,17,2024-09-20,98,True,Highly Loyal
223,1,2022-04-19,983,False,New
224,14,2024-10-15,73,True,Highly Loyal
225,51,2024-09-17,101,True,Highly Loyal
226,22,2024-09-12,106,True,Highly Loyal
227,90,2024-10-08,80,True,Highly Loyal
228,52,2024-12-18,9,True,Extremely Loyal
229,32,2024-11-17,40,True,Highly Loyal
230,22,2024-10-11,77,True,Highly Loyal
231,16,2024-11-20,37,True,Highly Loyal
232,3,2024-06-02,208,True,At Risk
233,84,2024-12-19,8,True,Extremely Loyal
234,47,2024-09-25,93,True,Highly Loyal
235,21,2024-05-09,232,True,Highly Loyal
236,12,2024-11-24,33,True,Highly Loyal
237,23,2024-08-13,136,True,Highly Loyal
238,64,2024-11-26,31,True,Highly Loyal
239,23,2024-09-08,110,True,Highly Loyal
240,17,2024-08-04,145,True,Highly Loyal
241,28,2024-07-21,159,True,Highly Loyal
242,37,2024-09-07,111,True,Highly Loyal
243,12,2024-08-03,146,True,Highly Loyal
244,62,2024-12-22,5,True,Extremely Loyal
245,28,2024-12-12,15,True,Extremely Loyal
246,59,2024-11-18,39,True,Highly Loyal
247,69,2024-10-16,72,True,Highly Loyal
248,4,2024-08-16,133,True,Low Loyal
249,64,2024-11-15,42,True,Highly Loyal
250,60,2024-11-14,43,True,Highly Loyal
251,24,2024-07-16,164,True,Highly Loyal
252,91,2024-10-18,70,True,Highly Loyal
253,52,2024-08-15,134,True,Highly Loyal
254,26,2024-08-19,130,True,Highly Loyal
255,43,2024-07-24,156,True,Highly Loyal
256,56,2024-09-20,98,True,Highly Loyal
257,17,2024-09-16,102,True,Highly Loyal
258,7,2024-06-03,207,True,Elevated Risk
259,66,2024-12-05,22,True,Extremely Loyal
260,63,2024-11-25,32,True,Highly Loyal
261,19,2024-11-12,45,True,Highly Loyal
262,82,2024-11-09,48,True,Highly Loyal
263,22,2024-11-10,47,True,Highly Loyal
264,28,2024-06-18,192,True,Highly Loyal
265,49,2024-10-27,61,True,Highly Loyal
266,51,2024-11-03,54,True,Highly Loyal
267,24,2024-12-14,13,True,Extremely Loyal
268,48,2024-08-19,130,True,Highly Loyal
269,12,2024-06-15,195,True,Highly Loyal
270,35,2024-10-05,83,True,Highly Loyal
271,45,2024-10-07,81,True,Highly Loyal
272,26,2024-10-16,72,True,Highly Loyal
273,39,2024-09-07,111,True,Highly Loyal
274,23,2024-10-04,84,True,Highly Loyal
275,72,2024-10-19,69,True,Highly Loyal
276,65,2024-12-18,9,True,Extremely Loyal
277,62,2024-12-17,10,True,Extremely Loyal
278,28,2024-08-14,135,True,Highly Loyal
279,13,2024-11-04,53,True,Highly Loyal
280,35,2024-10-12,76,True,Highly Loyal
281,16,2024-09-26,92,True,Highly Loyal
282,80,2024-10-18,70,True,Highly Loyal
283,61,2024-11-15,42,True,Highly Loyal
284,11,2024-09-07,111,True,Elevated Risk
285,41,2024-11-18,39,True,Highly Loyal
286,89,2024-12-20,7,True,Extremely Loyal
287,24,2024-10-25,63,True,Highly Loyal
288,23,2024-08-23,126,True,Highly Loyal
289,57,2024-11-09,48,True,Highly Loyal
290,56,2024-12-17,10,True,Extremely Loyal
291,18,2024-08-15,134,True,Highly Loyal
292,7,2024-08-18,131,True,Elevated Risk
293,54,2024-12-13,14,True,Extremely Loyal
294,17,2024-11-09,48,True,Highly Loyal
295,37,2024-10-21,67,True,Highly Loyal
296,3,2023-06-23,553,True,At Risk
297,58,2024-10-11,77,True,Highly Loyal
298,7,2024-05-10,231,True,Elevated Risk
299,74,2024-11-19,38,True,Highly Loyal
300,57,2024-11-15,42,True,Highly Loyal
301,32,2024-09-09,109,True,Highly Loyal
302,67,2024-12-08,19,True,Extremely Loyal
303,98,2024-12-14,13,True,Extremely Loyal
304,8,2024-04-21,250,True,Elevated Risk
305,41,2024-10-26,62,True,Highly Loyal
306,48,2024-08-05,144,True,Highly Loyal
307,19,2024-08-23,126,True,Highly Loyal
308,89,2024-11-14,43,True,Highly Loyal
309,14,2024-10-23,65,True,Highly Loyal
310,40,2024-09-21,97,True,Highly Loyal
311,13,2024-10-11,77,True,Highly Loyal
312,13,2024-07-18,162,True,Highly Loyal
313,32,2024-08-21,128,True,Highly Loyal
314,2,2023-02-10,686,True,At Risk
315,19,2024-05-27,214,True,Highly Loyal
316,36,2024-09-24,94,True,Highly Loyal
317,24,2024-09-20,98,True,Highly Loyal
318,65,2024-12-25,2,True,Extremely Loyal
319,55,2024-11-12,45,True,Highly Loyal
320,56,2024-11-09,48,True,Highly Loyal
321,14,2024-11-07,50,True,Highly Loyal
322,28,2024-08-06,143,True,Highly Loyal
323,61,2024-10-09,79,True,Highly Loyal
324,59,2024-12-18,9,True,Extremely Loyal
325,14,2024-08-23,126,True,Highly Loyal
326,60,2024-11-01,56,True,Highly Loyal
327,39,2024-11-18,39,True,Highly Loyal
328,46,2024-12-22,5,True,Extremely Loyal
329,47,2024-10-03,85,True,Highly Loyal
330,13,2024-05-02,239,True,Highly Loyal
331,57,2024-12-03,24,True,Extremely Loyal
332,65,2024-09-12,106,True,Highly Loyal
333,22,2024-11-20,37,True,Highly Loyal
334,2,2022-05-21,951,True,At Risk
335,55,2024-10-13,75,True,Highly Loyal
336,6,2024-04-09,262,True,Elevated Risk
337,35,2024-10-03,85,True,Highly Loyal
338,8,2024-10-13,75,True,Moderate Loyal
339,34,2024-11-11,46,True,Highly Loyal
340,17,2024-06-10,200,True,Highly Loyal
341,82,2024-10-21,67,True,Highly Loyal
342,40,2024-09-13,105,True,Highly Loyal
343,46,2024-10-19,69,True,Highly Loyal
344,71,2024-12-04,23,True,Extremely Loyal
345,16,2024-11-23,34,True,Highly Loyal
346,54,2024-12-20,7,True,Extremely Loyal
347,51,2024-09-23,95,True,Highly Loyal
348,69,2024-09-07,111,True,Highly Loyal
349,33,2024-07-14,166,True,Highly Loyal
350,35,2024-12-21,6,True,Extremely Loyal
351,3,2022-08-11,869,True,At Risk
352,38,2024-12-03,24,True,Extremely Loyal
353,66,2024-10-22,66,True,Highly Loyal
354,14,2024-08-20,129,True,Highly Loyal
355,58,2024-10-27,61,True,Highly Loyal
356,37,2024-06-17,193,True,Highly Loyal
357,85,2024-11-21,36,True,Highly Loyal
358,76,2024-12-05,22,True,Extremely Loyal
359,37,2024-09-23,95,True,Highly Loyal
360,8,2024-04-11,260,True,Elevated Risk
361,61,2024-12-26,1,True,Extremely Loyal
362,16,2024-10-08,80,True,Highly Loyal
363,17,2024-08-27,122,True,Highly Loyal
364,18,2024-07-24,156,True,Highly Loyal
365,88,2024-11-11,46,True,Highly Loyal
366,13,2024-05-13,228,True,Highly Loyal
367,23,2024-08-20,129,True,Highly Loyal
368,32,2024-09-27,91,True,Highly Loyal
369,18,2024-09-19,99,True,Highly Loyal
370,52,2024-10-26,62,True,Highly Loyal
371,55,2024-11-25,32,True,Highly Loyal
372,9,2024-10-16,72,True,Moderate Loyal
373,59,2024-10-23,65,True,Highly Loyal
374,48,2024-12-11,16,True,Extremely Loyal
375,35,2024-11-19,38,True,Highly Loyal
376,55,2024-11-10,47,True,Highly Loyal
377,63,2024-12-15,12,True,Extremely Loyal
378,18,2024-09-25,93,True,Highly Loyal
379,18,2024-10-19,69,True,Highly Loyal
380,43,2024-10-09,79,True,Highly Loyal
381,55,2024-10-07,81,True,Highly Loyal
382,23,2024-10-19,69,True,Highly Loyal
383,87,2024-11-03,54,True,Highly Loyal
384,69,2024-11-01,56,True,Highly Loyal
385,7,2024-07-03,177,True,Elevated Risk
386,22,2024-10-08,80,True,Highly Loyal
387,40,2024-10-01,87,True,Highly Loyal
388,77,2024-12-04,23,True,Extremely Loyal
389,68,2024-09-26,92,True,Highly Loyal
390,38,2024-11-04,53,True,Highly Loyal
391,16,2024-12-05,22,True,Extremely Loyal
392,23,2024-08-03,146,True,Highly Loyal
393,19,2024-08-13,136,True,Highly Loyal
394,18,2024-09-07,111,True,Highly Loyal
395,23,2024-09-06,112,True,Highly Loyal
396,18,2024-12-06,21,True,Extremely Loyal
397,55,2024-09-26,92,True,Highly Loyal
398,42,2024-12-17,10,True,Extremely Loyal
399,40,2024-10-12,76,True,Highly Loyal
400,18,2024-12-06,21,True,Extremely Loyal
401,58,2024-12-13,14,True,Extremely Loyal
402,54,2024-11-12,45,True,Highly Loyal
403,37,2024-11-03,54,True,Highly Loyal
404,60,2024-10-10,78,True,Highly Loyal
405,17,2024-06-09,201,True,Highly Loyal
406,63,2024-10-09,79,True,Highly Loyal
407,17,2024-11-06,51,True,Highly Loyal
408,28,2024-12-27,0,True,Extremely Loyal
409,55,2024-11-06,51,True,Highly Loyal
410,27,2024-12-12,15,True,Extremely Loyal
411,88,2024-11-21,36,True,Highly Loyal
412,56,2024-11-04,53,True,Highly Loyal
413,93,2024-12-16,11,True,Extremely Loyal
414,24,2024-11-19,38,True,Highly Loyal
415,34,2024-11-09,48,True,Highly Loyal
416,62,2024-11-14,43,True,Highly Loyal
417,35,2024-11-09,48,True,Highly Loyal
418,18,2024-08-27,122,True,Highly Loyal
419,101,2024-11-25,32,True,Highly Loyal
420,48,2024-10-08,80,True,Highly Loyal
421,56,2024-09-20,98,True,Highly Loyal
422,43,2024-10-20,68,True,Highly Loyal
423,25,2024-06-21,189,True,Highly Loyal
424,20,2024-10-16,72,True,Highly Loyal
425,65,2024-10-07,81,True,Highly Loyal
426,57,2024-10-24,64,True,Highly Loyal
427,34,2024-10-25,63,True,Highly Loyal
428,46,2024-09-13,105,True,Highly Loyal
429,25,2024-10-12,76,True,Highly Loyal
430,2,2024-08-11,138,True,Low Loyal
431,51,2024-12-10,17,True,Extremely Loyal
432,46,2024-11-17,40,True,Highly Loyal
433,9,2024-07-13,167,True,Elevated Risk
434,51,2024-10-02,86,True,Highly Loyal
435,23,2024-09-21,97,True,Highly Loyal
436,41,2024-11-16,41,True,Highly Loyal
437,13,2024-12-26,1,True,Extremely Loyal
438,33,2024-08-07,142,True,Highly Loyal
439,65,2024-11-27,30,True,Extremely Loyal
440,29,2024-12-27,0,True,Extremely Loyal
441,8,2024-06-11,199,True,Elevated Risk
442,24,2024-07-17,163,True,Highly Loyal
443,31,2024-10-25,63,True,Highly Loyal
444,31,2024-07-25,155,True,Highly Loyal
445,22,2024-11-26,31,True,Highly Loyal
446,53,2024-12-04,23,True,Extremely Loyal
447,43,2024-12-11,16,True,Extremely Loyal
448,29,2024-11-10,47,True,Highly Loyal
449,33,2024-08-11,138,True,Highly Loyal
450,22,2024-08-05,144,True,Highly Loyal
451,60,2024-09-10,108,True,Highly Loyal
452,37,2024-12-01,26,True,Extremely Loyal
453,47,2024-10-09,79,True,Highly Loyal
454,18,2024-11-01,56,True,Highly Loyal
455,25,2024-09-09,109,True,Highly Loyal
456,16,2024-08-14,135,True,Highly Loyal
457,59,2024-11-16,41,True,Highly Loyal
458,9,2024-11-14,43,True,Moderate Loyal
459,49,2024-12-17,10,True,Extremely Loyal
460,22,2024-09-23,95,True,Highly Loyal
461,39,2024-08-22,127,True,Highly Loyal
462,28,2024-10-23,65,True,Highly Loyal
463,17,2024-11-22,35,True,Highly Loyal
464,12,2024-10-04,84,True,Highly Loyal
465,19,2024-08-06,143,True,Highly Loyal
466,6,2024-06-25,185,True,Elevated Risk
467,2,2022-02-09,1052,True,At Risk
468,18,2024-09-05,113,True,Highly Loyal
469,33,2024-10-08,80,True,Highly Loyal
470,13,2024-09-08,110,True,Highly Loyal
471,14,2024-06-14,196,True,Highly Loyal
472,23,2024-11-13,44,True,Highly Loyal
473,18,2024-10-16,72,True,Highly Loyal
474,8,2024-09-22,96,True,Elevated Risk
475,31,2024-11-22,35,True,Highly Loyal
476,17,2024-08-11,138,True,Highly Loyal
477,63,2024-08-03,146,True,Highly Loyal
478,18,2024-07-25,155,True,Highly Loyal
479,50,2024-09-21,97,True,Highly Loyal
480,48,2024-11-15,42,True,Highly Loyal
481,65,2024-11-10,47,True,Highly Loyal
482,43,2024-09-07,111,True,Highly Loyal
483,50,2024-10-12,76,True,Highly Loyal
484,6,2024-07-11,169,True,Elevated Risk
485,50,2024-11-18,39,True,Highly Loyal
486,54,2024-12-08,19,True,Extremely Loyal
487,13,2024-03-01,301,True,Highly Loyal
488,45,2024-11-15,42,True,Highly Loyal
489,39,2024-11-17,40,True,Highly Loyal
490,49,2024-11-19,38,True,Highly Loyal
491,6,2024-05-26,215,True,Elevated Risk
492,24,2024-11-03,54,True,Highly Loyal
493,6,2024-10-14,74,True,Moderate Loyal
494,52,2024-09-23,95,True,Highly Loyal
495,41,2024-10-09,79,True,Highly Loyal
496,81,2024-11-26,31,True,Highly Loyal
497,41,2024-11-21,36,True,Highly Loyal
498,22,2024-10-25,63,True,Highly Loyal
499,49,2024-12-08,19,True,Extremely Loyal
500,24,2024-09-25,93,True,Highly Loyal
501,12,2024-04-22,249,True,Highly Loyal
502,65,2024-11-26,31,True,Highly Loyal
503,58,2024-10-21,67,True,Highly Loyal
504,31,2024-12-11,16,True,Extremely Loyal
505,43,2024-10-09,79,True,Highly Loyal
506,9,2024-10-16,72,True,Moderate Loyal
507,2,2024-05-02,239,True,At Risk
508,11,2024-06-10,200,True,Elevated Risk
509,6,2024-07-12,168,True,Elevated Risk
510,43,2024-08-24,125,True,Highly Loyal
511,49,2024-10-22,66,True,Highly Loyal
512,67,2024-10-11,77,True,Highly Loyal
513,56,2024-11-21,36,True,Highly Loyal
514,28,2024-12-20,7,True,Extremely Loyal
515,57,2024-10-24,64,True,Highly Loyal
516,71,2024-12-10,17,True,Extremely Loyal
517,28,2024-10-10,78,True,Highly Loyal
518,8,2024-08-23,126,True,Elevated Risk
519,26,2024-08-12,137,True,Highly Loyal
520,13,2024-10-07,81,True,Highly Loyal
521,17,2024-11-17,40,True,Highly Loyal
522,33,2024-12-18,9,True,Extremely Loyal
523,22,2024-11-09,48,True,Highly Loyal
524,7,2024-05-06,235,True,Elevated Risk
525,19,2024-11-22,35,True,Highly Loyal
526,2,2023-07-25,521,True,At Risk
527,84,2024-12-03,24,True,Extremely Loyal
528,42,2024-07-25,155,True,Highly Loyal
529,13,2024-10-15,73,True,Highly Loyal
530,18,2024-08-11,138,True,Highly Loyal
531,3,2024-09-15,103,True,Low Loyal
532,45,2024-09-12,106,True,Highly Loyal
533,83,2024-11-20,37,True,Highly Loyal
534,50,2024-09-09,109,True,Highly Loyal
535,62,2024-09-04,114,True,Highly Loyal
536,84,2024-08-15,134,True,Highly Loyal
537,81,2024-12-13,14,True,Extremely Loyal
538,76,2024-11-13,44,True,Highly Loyal
539,23,2024-10-19,69,True,Highly Loyal
540,43,2024-09-27,91,True,Highly Loyal
541,89,2024-11-22,35,True,Highly Loyal
542,44,2024-08-24,125,True,Highly Loyal
543,18,2024-11-07,50,True,Highly Loyal
544,78,2024-12-26,1,True,Extremely Loyal
545,40,2024-11-05,52,True,Highly Loyal
546,14,2024-08-01,148,True,Highly Loyal
547,21,2024-08-22,127,True,Highly Loyal
548,18,2024-11-14,43,True,Highly Loyal
549,51,2024-08-27,122,True,Highly Loyal
550,26,2024-09-10,108,True,Highly Loyal
551,38,2024-11-16,41,True,Highly Loyal
552,28,2024-07-21,159,True,Highly Loyal
553,18,2024-08-16,133,True,Highly Loyal
554,22,2024-10-22,66,True,Highly Loyal
555,13,2024-07-09,171,True,Highly Loyal
556,54,2024-09-06,112,True,Highly Loyal
557,38,2024-08-25,124,True,Highly Loyal
558,53,2024-11-19,38,True,Highly Loyal
559,23,2024-11-10,47,True,Highly Loyal
560,21,2024-10-26,62,True,Highly Loyal
561,66,2024-10-16,72,True,Highly Loyal
562,34,2024-11-21,36,True,Highly Loyal
563,36,2024-11-21,36,True,Highly Loyal
564,23,2024-10-09,79,True,Highly Loyal
565,33,2024-08-09,140,True,Highly Loyal
566,72,2024-12-16,11,True,Extremely Loyal
567,64,2024-10-23,65,True,Highly Loyal
568,48,2024-10-10,78,True,Highly Loyal
569,35,2024-07-09,171,True,Highly Loyal
570,64,2024-09-27,91,True,Highly Loyal
571,26,2024-09-15,103,True,Highly Loyal
572,1,2020-11-09,1509,False,New
573,74,2024-12-25,2,True,Extremely Loyal
574,34,2024-12-07,20,True,Extremely Loyal
575,20,2024-08-25,124,True,Highly Loyal
576,60,2024-09-03,115,True,Highly Loyal
577,43,2024-11-01,56,True,Highly Loyal
578,41,2024-10-04,84,True,Highly Loyal
579,18,2024-12-15,12,True,Extremely Loyal
580,58,2024-09-10,108,True,Highly Loyal
581,28,2024-07-15,165,True,Highly Loyal
582,51,2024-12-09,18,True,Extremely Loyal
583,37,2024-10-11,77,True,Highly Loyal
584,58,2024-10-14,74,True,Highly Loyal
585,45,2024-11-13,44,True,Highly Loyal
586,18,2024-08-02,147,True,Highly Loyal
587,60,2024-11-01,56,True,Highly Loyal
588,22,2024-07-16,164,True,Highly Loyal
589,37,2024-10-15,73,True,Highly Loyal
590,71,2024-12-27,0,True,Extremely Loyal
591,29,2024-11-13,44,True,Highly Loyal
592,91,2024-11-21,36,True,Highly Loyal
593,46,2024-10-23,65,True,Highly Loyal
594,4,2024-09-09,109,True,Low Loyal
595,89,2024-11-11,46,True,Highly Loyal
596,34,2024-10-07,81,True,Highly Loyal
597,8,2024-07-26,154,True,Elevated Risk
598,3,2023-02-06,690,True,At Risk
599,50,2024-11-25,32,True,Highly Loyal
600,20,2024-06-19,191,True,Highly Loyal
601,58,2024-09-24,94,True,Highly Loyal
602,48,2024-10-14,74,True,Highly Loyal
603,55,2024-12-19,8,True,Extremely Loyal
604,23,2024-10-15,73,True,Highly Loyal
605,23,2024-09-13,105,True,Highly Loyal
